Location,Shannon,Temperature,pH,Latitude
Water (ns),4.382639791,14.4,6.5,68.57478333
Water (ns),6.137841212,5.9,6.5,68.578643
Water (ns),6.632928139,10.1,6.5,68.58423333
Water (ns),9.237547269,15.4,6.5,68.58423333
Water (ns),6.391782094,8.82,6.5,68.587573
Water (ns),9.635638912,11.9,6.5,68.59133
Water (ns),7.681679696,8.7,6.5,68.59491667
Water (ns),5.576526159,9.7,6.5,68.59491667
Water (ns),6.772857977,11.9,6.5,68.59491667
Water (ns),8.305092128,13.1,6.5,68.59491667
Water (ns),6.429630396,4.56,6.5,68.595875
Water (ns),10.56428446,5.16,6.5,68.595875
Water (ns),6.706195931,5.29,6.5,68.595875
Water (ns),5.925017873,6.56,6.5,68.595875
Water (ns),6.268613749,5.95,6.5,68.600601
Water (ns),5.868944705,1.59,6.5,68.610781
Water (ns),8.322320678,14.9,6.5,68.61818333
Water (ns),6.586532269,2.43,6.5,68.629961
Water (ns),2.417025732,11.9,6.52,53.1
Water (ns),3.582248164,11.9,6.52,53.1
Water (ns),3.879471859,21.5,6.54,53.1
Water (ns),5.097014963,21.5,6.54,53.1
Water (ns),4.852084313,17.1,6.56,53.1
Water (ns),5.392190257,17.1,6.56,53.1
Water (ns),5.388358175,8.1,6.59,53.1
Water (ns),4.531862237,8.1,6.59,53.1
Water (ns),5.126905936,21.7,6.6,53.1
Water (ns),6.952970558,9.9,6.6,68.574
Water (ns),6.250719908,12.76,6.6,68.574673
Water (ns),7.60758229,8,6.6,68.57478333
Water (ns),7.723801747,16.4,6.6,68.57478333
Water (ns),4.720642163,17.1,6.6,68.57478333
Water (ns),9.604112885,4.1,6.6,68.578643
Water (ns),6.940698677,11.8,6.6,68.58423333
Water (ns),6.927615158,13.5,6.6,68.58423333
Water (ns),5.899835918,14.9,6.6,68.58423333
Water (ns),6.148837163,13.74,6.6,68.587573
Water (ns),6.845245593,22.9,6.6,68.59133
Water (ns),8.783893979,10.9,6.6,68.59491667
Water (ns),7.099347632,13.4,6.6,68.59491667
Water (ns),7.631754754,14.1,6.6,68.59491667
Water (ns),5.997052292,5.65,6.6,68.600601
Water (ns),6.011191874,1.41,6.6,68.609717
Water (ns),9.47602865,14,6.6,68.61035
Water (ns),5.559173388,11.6,6.6,68.611341
Water (ns),7.731348793,13.1,6.6,68.61818333
Water (ns),8.693302728,13.8,6.6,68.61818333
Water (ns),5.047308175,16.7,6.6,68.62538
Water (ns),9.078819163,0.4,6.6,68.6256
Water (ns),6.207659437,3.3,6.6,68.633064
Water (ns),6.37185873,3.8,6.6,68.633064
Water (ns),5.476641685,18.4,6.6,68.81046
Water (ns),5.196612845,19.5,6.61,53.1
Water (ns),5.78810837,19.5,6.61,53.1
Water (ns),4.283716543,18.6,6.62,53.1
Water (ns),4.120482581,18.6,6.62,53.1
Water (ns),4.89410418,16.3,6.67,53.1
Water (ns),5.430685511,16.3,6.67,53.1
Water (ns),5.034213731,9.48,6.7,55.905
Water (ns),6.25980639,6.06,6.7,68.5684
Water (ns),6.162161763,9.73,6.7,68.5684
Water (ns),6.08528153,12.65,6.7,68.5684
Water (ns),5.913041481,7.34,6.7,68.571037
Water (ns),5.517580674,13.5,6.7,68.57366667
Water (ns),7.037116469,8.4,6.7,68.574
Water (ns),6.976204558,10.2,6.7,68.574
Water (ns),6.845953648,10.6,6.7,68.574
Water (ns),4.079768213,11.5,6.7,68.574
Water (ns),7.753193955,13.8,6.7,68.574
Water (ns),7.399088676,14,6.7,68.574
Water (ns),5.865566536,14.41,6.7,68.574673
Water (ns),4.908193038,16.09,6.7,68.574673
Water (ns),8.908982689,8.6,6.7,68.578643
Water (ns),6.339990876,12.35,6.7,68.578931
Water (ns),6.04699204,13.99,6.7,68.578931
Water (ns),5.301906693,5.17,6.7,68.582062
Water (ns),7.204859172,12.8,6.7,68.58423333
Water (ns),6.859244109,13.5,6.7,68.58423333
Water (ns),7.701389837,17.9,6.7,68.58423333
Water (ns),6.989458419,8.4,6.7,68.59491667
Water (ns),7.285862683,13.7,6.7,68.59491667
Water (ns),6.603751014,2.95,6.7,68.595875
Water (ns),10.40806382,5.3,6.7,68.59688333
Water (ns),6.007264918,9.8,6.7,68.60853333
Water (ns),10.383049,10.07,6.7,68.609717
Water (ns),5.866966488,10.9,6.7,68.61818333
Water (ns),7.853011595,11.5,6.7,68.61818333
Water (ns),6.34100975,10.5,6.7,68.6256
Water (ns),7.333726217,13.6,6.7,68.6256
Water (ns),6.604914004,1.92,6.7,68.629961
Water (ns),6.371588904,4,6.7,68.629961
Water (ns),6.345656837,5.17,6.7,68.629961
Water (ns),6.526772586,5.19,6.7,68.629961
Water (ns),5.999078371,3.9,6.7,68.633232
Water (ns),6.841510855,18,6.7,68.82153
Water (ns),5.080271225,17.4,6.71,53.1
Water (ns),0.969340705,17.4,6.71,53.1
Water (ns),4.695220584,20.6,6.73,53.1
Water (ns),2.377078349,20.6,6.73,53.1
Sediment (s),7.365870414,10.5,6.74,50.338
Sediment (s),6.976660401,10.5,6.74,50.338
Sediment (s),7.353412309,11.6,6.77,50.338
Sediment (s),6.854043244,11.6,6.77,50.338
Sediment (s),7.724435486,11.6,6.77,50.338
Sediment (s),7.841892815,11.6,6.77,50.338
Sediment (s),6.891124292,11.6,6.77,50.338
Sediment (s),7.907918207,11.6,6.77,50.338
Sediment (s),7.485570441,11.6,6.77,50.338
Sediment (s),6.903933115,11.6,6.77,50.338
Soil (ns),4.124024511,63.1,6.78,19.389
Water (ns),4.413680488,21.9,6.78,53.1
Water (ns),5.980582706,21.9,6.78,53.1
Plant rhizosphere,5.561958698,15,6.8,33.194
Soil (ns),8.489379906,15,6.8,33.194
Soil (ns),8.744181739,15,6.8,33.194
Soil (ns),8.844899307,15,6.8,33.194
Plant rhizosphere,6.408821918,15,6.8,33.194
Plant rhizosphere,5.912102922,15,6.8,33.194
Water (ns),5.874211737,15.9,6.8,53.1
Water (ns),3.907713225,15.9,6.8,53.1
Water (ns),4.100409066,19.2,6.8,68.50508
Water (ns),6.266305654,5.28,6.8,68.5684
Water (ns),5.430264841,11.05,6.8,68.5684
Water (ns),6.204603816,5.35,6.8,68.571037
Water (ns),5.541300606,10.74,6.8,68.571037
Water (ns),5.5214718,12.75,6.8,68.571037
Water (ns),5.506237803,13.25,6.8,68.571037
Water (ns),8.505203643,8.1,6.8,68.574
Water (ns),7.710940836,11.7,6.8,68.574
Water (ns),6.293226949,9.54,6.8,68.574673
Water (ns),5.718956349,12.95,6.8,68.574673
Water (ns),5.086934919,14.44,6.8,68.574673
Water (ns),7.72234894,10.4,6.8,68.57478333
Water (ns),8.555558359,8,6.8,68.578643
Water (ns),5.344797084,12.12,6.8,68.578931
Water (ns),5.403830948,14.2,6.8,68.578931
Water (ns),5.902612243,15.76,6.8,68.578931
Water (ns),6.72902822,10.6,6.8,68.58423333
Water (ns),7.103232585,13.6,6.8,68.58423333
Water (ns),5.574665578,17.4,6.8,68.58423333
Water (ns),7.129882165,7.64,6.8,68.587573
Water (ns),5.28442187,13.65,6.8,68.587573
Water (ns),7.326502413,9,6.8,68.59491667
Water (ns),4.709054681,10.3,6.8,68.59491667
Water (ns),7.11750277,11,6.8,68.59491667
Water (ns),9.209956779,11.4,6.8,68.59491667
Water (ns),9.878999588,11.4,6.8,68.59491667
Water (ns),6.191436243,11.7,6.8,68.59491667
Water (ns),8.462769201,14.5,6.8,68.59491667
Water (ns),6.520586889,13.6,6.8,68.595875
Water (ns),6.94129858,15.2,6.8,68.59688333
Water (ns),6.503742421,13.94,6.8,68.600601
Water (ns),9.982626105,7.8,6.8,68.60853333
Water (ns),5.742401456,8.39,6.8,68.609717
Water (ns),10.21614411,9.67,6.8,68.609717
Water (ns),7.307273627,10.9,6.8,68.61035
Water (ns),9.08287603,12.7,6.8,68.61035
Water (ns),6.458111197,10.81,6.8,68.610781
Water (ns),6.398123806,14.33,6.8,68.610781
Water (ns),6.782583799,13,6.8,68.61818333
Water (ns),7.678680635,16.5,6.8,68.61818333
Water (ns),8.815807348,16.7,6.8,68.61818333
Water (ns),9.304492,18.1,6.8,68.61818333
Water (ns),8.442746011,10.6,6.8,68.6256
Water (ns),6.927832613,13.1,6.8,68.6256
Water (ns),6.695075457,1.9,6.8,68.629961
Water (ns),6.613649154,2.86,6.8,68.629961
Water (ns),6.940333924,2.97,6.8,68.629961
Water (ns),6.772320063,3.25,6.8,68.629961
Water (ns),4.227767706,4.81,6.8,68.629961
Water (ns),6.240908132,4.96,6.8,68.629961
Water (ns),6.564872299,5.22,6.8,68.629961
Water (ns),6.365992879,5.3,6.8,68.629961
Water (ns),6.913444249,5.4,6.8,68.629961
Water (ns),6.577439278,5.52,6.8,68.629961
Water (ns),6.544670472,5.69,6.8,68.629961
Water (ns),4.936528003,6.14,6.8,68.629961
Water (ns),6.575426451,3.2,6.8,68.632586
Water (ns),6.580425202,2.9,6.8,68.633232
Water (ns),5.769865209,15.4,6.8,68.70166667
Water (ns),3.951859717,14.4,6.8,68.79496
Water (ns),5.988080961,18.2,6.8,68.82153
Water (ns),4.83449234,18.4,6.81,53.1
Water (ns),5.100975657,18.4,6.81,53.1
Plant rhizosphere,5.99087309,15,6.82,33.194
Soil (ns),8.603413098,15,6.82,33.194
Soil (ns),8.65149515,15,6.82,33.194
Soil (ns),8.869590896,15,6.82,33.194
Soil (ns),8.121602195,15,6.82,33.194
Soil (ns),8.460883078,15,6.82,33.194
