ID	group
2382.HE003.C181.HA.2.760.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.HE003.C181.HA.5.775.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.RU006.C181.RH.5.800.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH005.C3.RH.5.674.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.GM.181.R3.gp.10.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.RU006.C181.RH.5.799.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.GM.181.R5.leav.10.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.GM.181.R2.gp.10.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.GM.181.R5.gp.10.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.DPOO1.C1.HA.1.629.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH004.C1.RH.2.8.r1.leav.6.11.lane8.NoIndex.L008.sequences	"[0,1)"
2382.DPOO1.C1.HA.5.650.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.MU002.C3.HA.1.680.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.HE003.C181.HA.5.774.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.MU002.C3.HA.4.695.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.MU002.C3.HA.2.685.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.MU002.C3.HA.1.679.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.HE003.C181.HA.3.765.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH008.C6.HA.1.730.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH005.C3.RH.1.655.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH007.C6.RH.1.704.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.MU002.C3.HA.3.690.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.GM.181.R4.gp.10.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH005.C3.RH.3.664.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH007.C6.RH.3.714.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.GM.181.R3.leav.10.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.RU006.C181.RH.4.794.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2229.W2.N1.8.HE3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[0,1)"
2229.W2.N1.4.HE2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[0,1)"
2229.B.I.chem.HEsL5.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[0,1)"
2229.S2.T31.EH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[0,1)"
2229.S1.N3.4.HE3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[0,1)"
2382.RU006.C181.RH.3.789.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.HE003.C181.HA.3.764.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.MU002.C3.HA.4.694.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
910.CuracaoTurf1C	"[0,1)"
2229.W1.N2.4.HP1.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[0,1)"
910.CuracaoCCA5C	"[0,1)"
910.CuracaoCCA4C	"[1,2)"
910.CuracaoCCA1C	"[1,2)"
2382.GM.181.R1.leav.10.12.lane8.NoIndex.L008.sequences	"[1,2)"
2229.W1.N2.6.HP4.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[1,2)"
2382.GM.181.R4.leav.10.12.lane8.NoIndex.L008.sequences	"[1,2)"
2229.B.I.chem.HEpL4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[1,2)"
2229.W1.N3.6.HP5.Thomas.CMB.Seaweed.lane5.NoIndex.L005.r	"[1,2)"
2229.B.I.chem.HE.juv1.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[1,2)"
2229.B.I.chem.HEsL2.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[1,2)"
2229.W2.N3.4.HE3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[1,2)"
2229.W2.N1.8.HE5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[1,2)"
2229.W1.T12.PS1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[1,2)"
2229.S2.N3.4.HE1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[1,2)"
2229.W2.N2.5.HP4.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[1,2)"
2229.B.I.chem.HEsL1.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[1,2)"
1024.SH007.C6.RH.5.185.flw.6.11.G1.L00	"[1,2)"
2229.W2.N1.7.HE2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[1,2)"
2229.W1.N3.6.HP5.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[1,2)"
2229.W2.T1.6.HP2.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[1,2)"
910.CuracaoCCA3C	"[1,2)"
2229.W1.N1.9.HE2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[1,2)"
2229.S2.N3.4.HE4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[1,2)"
2229.W1.N1.9.HE4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[1,2)"
2229.S2.T33.EH5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[1,2)"
2229.W1.N2.6.HP3.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[1,2)"
2229.T.L.B.3.HE3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[1,2)"
2229.S2.T33.EH2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[1,2)"
2229.W2.N3.6.HP1.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[1,2)"
