Shannon Index	Latitude	Location
5.477045305	62.232	Sediment
5.385286309	62.232	Sediment
5.311629869	62.232	Sediment
6.183822241	62.231	Sediment
4.542861387	62.231	Sediment
7.324204249	54.811	Sediment
7.69359544	54.811	Sediment
7.668864016	54.811	Sediment
7.863298667	54.804	Sediment
6.243528346	23.18	Water
7.318464232	23.18	Water
7.390790088	23.18	Water
6.253255803	23.18	Sediment
8.102034685	23.14	Sediment
8.61675641	23.14	Water
5.614449954	22.95	Water
8.114744363	22.95	Water
6.710099457	22.95	Sediment
8.312097753	22.95	Water
6.726188795	22.94	Sediment
8.644792733	22.94	Sediment
5.855261575	22.94	Water
7.303963009	22.94	Hypersaline
6.625252589	22.94	Water
7.482102281	22.94	Hypersaline
6.412670475	22.85	Sediment
8.348474749	22.85	Water
7.747080075	22.85	Sediment
6.925910941	22.85	Sediment
4.363980568	9.112281667	Sediment
3.160892967	9.112281667	Sediment
2.373116714	9.112281667	Sediment
5.598813882	8.767	Water
7.340419263	8.767	Water
5.51732704	8.767	Water
5.072119188	8.767	Water
6.222327429	8.767	Water
6.208683681	10.75	Water
6.957157382	10.75	Water
6.561785479	10.75	Water
6.117113971	10.75	Water
6.355699254	10.75	Water
6.69510489	12.083	Water
6.273213392	12.083	Water
5.540801855	14.733	Water
6.758985345	14.733	Water
5.26358879	14.733	Water
5.440917149	16.733	Water
4.7102459	16.733	Water
5.145629137	16.733	Water
4.12072391	17.950367	Hypersaline
7.135994955	17.950367	Hypersaline
4.065057966	17.950617	Hypersaline
7.569434319	17.950617	Hypersaline
4.771620414	17.951083	Hypersaline
7.436557787	17.951083	Hypersaline
4.49755939	17.95385	Hypersaline
4.544514108	17.95435	Hypersaline
5.693490404	17.954767	Hypersaline
8.913622414	17.96725	Sediment
9.013945171	17.967317	Sediment
8.446985568	17.9675	Sediment
5.750862346	17.973633	Water
5.746541855	17.973633	Water
5.088235579	17.975017	Water
5.425954527	17.975017	Water
6.145147388	20.37	Water
7.332794397	20.37	Water
5.475672654	20.586	Water
5.020727709	20.586	Water
5.10436617	20.586	Water
5.257400255	20.586	Water
4.866458649	20.733	Water
4.24437405	20.733	Water
3.398342253	20.733	Water
4.619387798	20.733	Water
4.088292565	20.733	Water
2.985923442	20.91	Water
5.144610866	20.91	Water
