Location,OO,Temperature,pH,Latitude
Soil (ns),528,5,5.74,71.296
Water (ns),219,6.1,5.8,53.1
Water (ns),358,6.1,5.8,53.1
Water (ns),139,9.6,5.83,53.1
Water (ns),386,9.6,5.83,53.1
Water (ns),393,11.2,5.85,53.1
Water (ns),382,11.2,5.85,53.1
Water (ns),372,11.1,5.86,53.1
Water (ns),256,11.1,5.86,53.1
Water (ns),112,12.6,5.86,55.905
Water (ns),307,4.2,5.89,53.1
Water (ns),295,4.2,5.89,53.1
Water (ns),120,6,5.9,53.1
Water (ns),250,6,5.9,53.1
Water (ns),50,8,5.9,53.1
Water (ns),216,4.1,5.92,53.1
Water (ns),126,4.1,5.92,53.1
Water (ns),263,2.9,5.95,53.1
Water (ns),304,2.9,5.95,53.1
Water (ns),106,7.6,5.95,53.1
Water (ns),261,14.4,5.95,53.1
Water (ns),216,14.4,5.95,53.1
Water (ns),77,3.7,5.96,53.1
Water (ns),95,3.7,5.96,53.1
Water (ns),95,14.4,5.96,53.1
Water (ns),91,14.4,5.96,53.1
Water (ns),1549,6.1,5.99,53.1
Water (ns),322,6.1,5.99,53.1
Water (ns),87,20.5,5.99,53.1
Water (ns),350,20.5,5.99,53.1
Water (ns),356,22.1,5.99,53.1
Water (ns),478,22.1,5.99,53.1
Water (ns),270,4.2,6,53.1
Water (ns),252,4.2,6,53.1
Water (ns),352,7.8,6,53.1
Water (ns),171,7.8,6,53.1
Water (ns),331,2.39,6,68.571037
Water (ns),2350,4.5,6,68.578643
Water (ns),1407,4.7,6,68.60853333
Water (ns),841,10.8,6,68.61035
Water (ns),141,5.65,6,68.629961
Water (ns),206,5.4,6.03,53.1
Water (ns),298,5.4,6.03,53.1
Water (ns),163,10.4,6.03,53.1
Water (ns),181,10.4,6.03,53.1
Water (ns),160,14.4,6.04,53.1
Water (ns),177,14.4,6.04,53.1
Water (ns),112,5.3,6.05,53.1
Water (ns),111,5.3,6.05,53.1
Water (ns),257,11.2,6.05,53.1
Water (ns),139,11.2,6.05,53.1
Water (ns),424,21.6,6.05,53.1
Water (ns),216,21.6,6.05,53.1
Water (ns),161,3.9,6.06,53.1
Water (ns),54,3.9,6.06,53.1
Water (ns),280,6.3,6.06,53.1
Water (ns),223,6.3,6.06,53.1
Water (ns),137,4.2,6.08,53.1
Water (ns),337,4.2,6.08,53.1
Water (ns),443,4.77,6.1,68.571037
Water (ns),311,2.59,6.1,68.574673
Water (ns),1412,12.3,6.1,68.57478333
Water (ns),315,2.45,6.1,68.578931
Water (ns),434,2.77,6.1,68.578931
Water (ns),289,5.49,6.1,68.578931
Water (ns),348,6.26,6.1,68.578931
Water (ns),301,2.16,6.1,68.587573
Water (ns),194,6.56,6.1,68.587573
Water (ns),536,16.5,6.1,68.59491667
Water (ns),1256,7.3,6.1,68.61818333
Water (ns),170,5.91,6.1,68.629961
Water (ns),163,14.28,6.11,55.873
Water (ns),294,4.3,6.12,53.1
Water (ns),305,4.3,6.12,53.1
Water (ns),91,5.3,6.12,53.1
Water (ns),81,5.3,6.12,53.1
Water (ns),331,10,6.12,53.1
Water (ns),714,14.52,6.12,55.873
Soil (ns),67,90,6.13,19.389
Water (ns),302,6,6.14,53.1
Water (ns),307,6,6.14,53.1
Water (ns),250,18.6,6.16,53.1
Water (ns),402,18.6,6.16,53.1
Water (ns),437,12.26,6.19,55.905
Water (ns),104,18.1,6.2,53.1
Water (ns),140,18.1,6.2,53.1
Water (ns),85,22,6.2,53.1
Water (ns),261,22,6.2,53.1
Water (ns),453,23.8,6.2,53.1
Water (ns),394,23.8,6.2,53.1
Water (ns),178,4.2,6.2,68.571037
Water (ns),141,11.6,6.2,68.57478333
Water (ns),364,13,6.2,68.58423333
Water (ns),317,15.6,6.2,68.585839
Water (ns),500,3.2,6.2,68.587573
Water (ns),796,11.1,6.2,68.59491667
Water (ns),801,14.9,6.2,68.59491667
Water (ns),427,16.9,6.2,68.79622
Water (ns),368,13.7,6.2,68.81046
Water (ns),335,9.5,6.21,53.1
Water (ns),77,9.5,6.21,53.1
Water (ns),134,20.4,6.24,53.1
Water (ns),195,20.4,6.24,53.1
Water (ns),302,23,6.24,53.1
Water (ns),324,23,6.24,53.1
Water (ns),164,20.6,6.26,53.1
Water (ns),91,20.6,6.26,53.1
Water (ns),380,8.3,6.27,53.1
Water (ns),264,8.3,6.27,53.1
Water (ns),203,16.4,6.3,53.1
Water (ns),252,16.4,6.3,53.1
Water (ns),225,15.3,6.3,68.50245
Water (ns),476,3.15,6.3,68.5684
Water (ns),248,7.44,6.3,68.5684
Water (ns),325,3.99,6.3,68.571037
Water (ns),1168,11,6.3,68.57478333
Water (ns),1571,13.9,6.3,68.57478333
Water (ns),1450,12.3,6.3,68.585839
Water (ns),308,9.67,6.3,68.587573
Water (ns),575,7.2,6.3,68.60853333
Water (ns),226,11.2,6.3,68.61818333
Water (ns),311,18.6,6.32,53.1
Water (ns),271,18.6,6.32,53.1
Water (ns),221,9.1,6.33,53.1
Water (ns),352,9.1,6.33,53.1
Water (ns),560,17,6.33,53.1
Water (ns),388,17,6.33,53.1
Water (ns),783,14.64,6.34,55.873
Water (ns),118,18.8,6.35,53.1
Water (ns),137,18.8,6.35,53.1
Water (ns),318,20.3,6.35,53.1
Water (ns),236,20.3,6.35,53.1
Soil (ns),54,74.6,6.36,19.389
Water (ns),148,7.5,6.36,53.1
Water (ns),210,7.5,6.36,53.1
Water (ns),83,22.4,6.4,53.1
Water (ns),139,22.4,6.4,53.1
Water (ns),259,2.56,6.4,68.5684
Water (ns),212,6.32,6.4,68.5684
Water (ns),320,5.89,6.4,68.571037
Water (ns),289,7.1,6.4,68.571037
Water (ns),313,11.54,6.4,68.571037
Water (ns),1012,11.9,6.4,68.57478333
Water (ns),284,12.2,6.4,68.57478333
Water (ns),819,13.4,6.4,68.57478333
Water (ns),1388,13.9,6.4,68.57478333
Water (ns),1079,14.2,6.4,68.57478333
Water (ns),386,13.2,6.4,68.578931
Water (ns),730,11.6,6.4,68.58423333
Water (ns),1658,7.1,6.4,68.59688333
Water (ns),499,2.44,6.4,68.600601
Water (ns),89,15.9,6.4,68.601493
Water (ns),443,9.2,6.4,68.611341
Water (ns),302,10.7,6.4,68.611341
Water (ns),704,11.2,6.4,68.61818333
Water (ns),438,11.9,6.4,68.61838333
Water (ns),221,21,6.43,53.1
Water (ns),157,21,6.43,53.1
Water (ns),227,1.5,6.47,53.1
Water (ns),173,19.4,6.49,53.1
Water (ns),249,19.4,6.49,53.1
Water (ns),109,15.7,6.5,53.1
Water (ns),257,15.7,6.5,53.1
Water (ns),293,1.87,6.5,68.571037
Water (ns),2062,5.3,6.5,68.57366667
Water (ns),735,9.3,6.5,68.57478333
Water (ns),1717,11.3,6.5,68.57478333
Water (ns),530,14.4,6.5,68.57478333
Water (ns),983,5.9,6.5,68.578643
Water (ns),751,10.1,6.5,68.58423333
Water (ns),1667,15.4,6.5,68.58423333
Water (ns),286,8.82,6.5,68.587573
Water (ns),1795,11.9,6.5,68.59133
Water (ns),806,8.7,6.5,68.59491667
Water (ns),492,9.7,6.5,68.59491667
Water (ns),917,11.9,6.5,68.59491667
Water (ns),811,13.1,6.5,68.59491667
Water (ns),309,4.56,6.5,68.595875
Water (ns),2631,5.16,6.5,68.595875
Water (ns),328,5.29,6.5,68.595875
Water (ns),245,6.56,6.5,68.595875
Water (ns),275,5.95,6.5,68.600601
Water (ns),294,1.59,6.5,68.610781
Water (ns),1478,14.9,6.5,68.61818333
Water (ns),321,2.43,6.5,68.629961
Water (ns),55,11.9,6.52,53.1
Water (ns),241,11.9,6.52,53.1
Water (ns),145,21.5,6.54,53.1
Water (ns),225,21.5,6.54,53.1
Water (ns),308,17.1,6.56,53.1
Water (ns),258,17.1,6.56,53.1
Water (ns),210,8.1,6.59,53.1
Water (ns),176,8.1,6.59,53.1
Water (ns),303,21.7,6.6,53.1
Water (ns),773,9.9,6.6,68.574
Water (ns),362,12.76,6.6,68.574673
Water (ns),498,8,6.6,68.57478333
Water (ns),1181,16.4,6.6,68.57478333
Water (ns),69,17.1,6.6,68.57478333
Water (ns),1881,4.1,6.6,68.578643
Water (ns),704,11.8,6.6,68.58423333
Water (ns),239,13.5,6.6,68.58423333
Water (ns),227,14.9,6.6,68.58423333
Water (ns),286,13.74,6.6,68.587573
Water (ns),168,22.9,6.6,68.59133
Water (ns),987,10.9,6.6,68.59491667
Water (ns),627,13.4,6.6,68.59491667
Water (ns),889,14.1,6.6,68.59491667
Water (ns),266,5.65,6.6,68.600601
Water (ns),227,1.41,6.6,68.609717
Water (ns),1749,14,6.6,68.61035
Water (ns),333,11.6,6.6,68.611341
Water (ns),1175,13.1,6.6,68.61818333
Water (ns),1502,13.8,6.6,68.61818333
Water (ns),177,16.7,6.6,68.62538
Water (ns),913,0.4,6.6,68.6256
Water (ns),320,3.3,6.6,68.633064
Water (ns),327,3.8,6.6,68.633064
Water (ns),480,18.4,6.6,68.81046
Water (ns),292,19.5,6.61,53.1
Water (ns),267,19.5,6.61,53.1
Water (ns),138,18.6,6.62,53.1
Water (ns),155,18.6,6.62,53.1
Water (ns),322,16.3,6.67,53.1
Water (ns),362,16.3,6.67,53.1
Water (ns),211,9.48,6.7,55.905
Water (ns),346,6.06,6.7,68.5684
Water (ns),279,9.73,6.7,68.5684
Water (ns),293,12.65,6.7,68.5684
Water (ns),234,7.34,6.7,68.571037
Water (ns),77,13.5,6.7,68.57366667
Water (ns),754,8.4,6.7,68.574
Water (ns),596,10.2,6.7,68.574
Water (ns),692,10.6,6.7,68.574
Water (ns),48,11.5,6.7,68.574
Water (ns),1018,13.8,6.7,68.574
Water (ns),942,14,6.7,68.574
Water (ns),271,14.41,6.7,68.574673
Water (ns),170,16.09,6.7,68.574673
Water (ns),1311,8.6,6.7,68.578643
Water (ns),345,12.35,6.7,68.578931
Water (ns),283,13.99,6.7,68.578931
Water (ns),224,5.17,6.7,68.582062
Water (ns),758,12.8,6.7,68.58423333
Water (ns),1065,13.5,6.7,68.58423333
Water (ns),420,17.9,6.7,68.58423333
Water (ns),611,8.4,6.7,68.59491667
Water (ns),672,13.7,6.7,68.59491667
Water (ns),519,2.95,6.7,68.595875
Water (ns),2387,5.3,6.7,68.59688333
Water (ns),255,9.8,6.7,68.60853333
Water (ns),2438,10.07,6.7,68.609717
Water (ns),596,10.9,6.7,68.61818333
Water (ns),1194,11.5,6.7,68.61818333
Water (ns),923,10.5,6.7,68.6256
Water (ns),386,13.6,6.7,68.6256
Water (ns),319,1.92,6.7,68.629961
Water (ns),333,4,6.7,68.629961
Water (ns),281,5.17,6.7,68.629961
Water (ns),328,5.19,6.7,68.629961
Water (ns),259,3.9,6.7,68.633232
Water (ns),352,18,6.7,68.82153
Water (ns),410,17.4,6.71,53.1
Water (ns),104,17.4,6.71,53.1
Water (ns),175,20.6,6.73,53.1
Water (ns),68,20.6,6.73,53.1
Sediment (s),787,10.5,6.74,50.338
Sediment (s),721,10.5,6.74,50.338
Sediment (s),861,11.6,6.77,50.338
Sediment (s),608,11.6,6.77,50.338
Sediment (s),929,11.6,6.77,50.338
Sediment (s),1070,11.6,6.77,50.338
Sediment (s),731,11.6,6.77,50.338
Sediment (s),1005,11.6,6.77,50.338
Sediment (s),779,11.6,6.77,50.338
Sediment (s),765,11.6,6.77,50.338
Soil (ns),91,63.1,6.78,19.389
Water (ns),363,21.9,6.78,53.1
Water (ns),378,21.9,6.78,53.1
Plant rhizosphere,277,15,6.8,33.194
Soil (ns),824,15,6.8,33.194
Soil (ns),949,15,6.8,33.194
Soil (ns),1067,15,6.8,33.194
Plant rhizosphere,342,15,6.8,33.194
Plant rhizosphere,250,15,6.8,33.194
Water (ns),336,15.9,6.8,53.1
Water (ns),119,15.9,6.8,53.1
Water (ns),288,19.2,6.8,68.50508
Water (ns),300,5.28,6.8,68.5684
Water (ns),196,11.05,6.8,68.5684
Water (ns),310,5.35,6.8,68.571037
Water (ns),192,10.74,6.8,68.571037
Water (ns),216,12.75,6.8,68.571037
Water (ns),180,13.25,6.8,68.571037
Water (ns),1461,8.1,6.8,68.574
Water (ns),585,11.7,6.8,68.574
Water (ns),432,9.54,6.8,68.574673
Water (ns),349,12.95,6.8,68.574673
Water (ns),198,14.44,6.8,68.574673
Water (ns),1028,10.4,6.8,68.57478333
Water (ns),1218,8,6.8,68.578643
Water (ns),228,12.12,6.8,68.578931
Water (ns),223,14.2,6.8,68.578931
Water (ns),240,15.76,6.8,68.578931
Water (ns),528,10.6,6.8,68.58423333
Water (ns),516,13.6,6.8,68.58423333
Water (ns),109,17.4,6.8,68.58423333
Water (ns),398,7.64,6.8,68.587573
Water (ns),166,13.65,6.8,68.587573
Water (ns),782,9,6.8,68.59491667
Water (ns),350,10.3,6.8,68.59491667
Water (ns),690,11,6.8,68.59491667
Water (ns),1333,11.4,6.8,68.59491667
Water (ns),1565,11.4,6.8,68.59491667
Water (ns),360,11.7,6.8,68.59491667
Water (ns),1507,14.5,6.8,68.59491667
Water (ns),324,13.6,6.8,68.595875
Water (ns),201,15.2,6.8,68.59688333
Water (ns),377,13.94,6.8,68.600601
Water (ns),2329,7.8,6.8,68.60853333
Water (ns),276,8.39,6.8,68.609717
Water (ns),2258,9.67,6.8,68.609717
Water (ns),374,10.9,6.8,68.61035
Water (ns),1762,12.7,6.8,68.61035
Water (ns),581,10.81,6.8,68.610781
Water (ns),351,14.33,6.8,68.610781
Water (ns),851,13,6.8,68.61818333
Water (ns),1320,16.5,6.8,68.61818333
Water (ns),1665,16.7,6.8,68.61818333
Water (ns),1817,18.1,6.8,68.61818333
Water (ns),1436,10.6,6.8,68.6256
Water (ns),892,13.1,6.8,68.6256
Water (ns),313,1.9,6.8,68.629961
Water (ns),246,2.86,6.8,68.629961
Water (ns),379,2.97,6.8,68.629961
Water (ns),398,3.25,6.8,68.629961
Water (ns),431,4.81,6.8,68.629961
Water (ns),295,4.96,6.8,68.629961
Water (ns),333,5.22,6.8,68.629961
Water (ns),289,5.3,6.8,68.629961
Water (ns),367,5.4,6.8,68.629961
Water (ns),308,5.52,6.8,68.629961
Water (ns),315,5.69,6.8,68.629961
Water (ns),141,6.14,6.8,68.629961
Water (ns),351,3.2,6.8,68.632586
Water (ns),318,2.9,6.8,68.633232
Water (ns),217,15.4,6.8,68.70166667
Water (ns),162,14.4,6.8,68.79496
Water (ns),293,18.2,6.8,68.82153
Water (ns),247,18.4,6.81,53.1
Water (ns),301,18.4,6.81,53.1
Plant rhizosphere,328,15,6.82,33.194
Soil (ns),862,15,6.82,33.194
Soil (ns),865,15,6.82,33.194
Soil (ns),1045,15,6.82,33.194
Soil (ns),733,15,6.82,33.194
Soil (ns),822,15,6.82,33.194
Plant rhizosphere,323,15,6.82,33.194
Plant rhizosphere,260,15,6.82,33.194
Plant rhizosphere,225,15,6.82,33.194
Water (ns),345,18.1,6.84,53.1
Water (ns),1313,15.44,6.84,55.905
Water (ns),437,19.9,6.86,53.1
Water (ns),159,19.9,6.86,53.1
Water (ns),1058,11.84,6.87,55.905
Water (ns),414,9.22,6.9,55.905
Water (ns),365,16.42,6.9,55.906
Water (ns),202,15.6,6.9,68.50508
Water (ns),367,18.8,6.9,68.51007
Water (ns),384,8.96,6.9,68.571037
Water (ns),1707,9.85,6.9,68.571037
Water (ns),91,11.85,6.9,68.571037
Water (ns),679,9.6,6.9,68.574
Water (ns),1136,11.9,6.9,68.574
Water (ns),754,11.9,6.9,68.574
Water (ns),799,12.3,6.9,68.574
Water (ns),729,12.3,6.9,68.574
Water (ns),831,12.7,6.9,68.574
Water (ns),994,12.8,6.9,68.574
Water (ns),297,15.36,6.9,68.574673
Water (ns),1083,9,6.9,68.57478333
Water (ns),1313,9,6.9,68.57478333
Water (ns),86,11.6,6.9,68.57478333
Water (ns),348,9.89,6.9,68.578931
Water (ns),292,11.91,6.9,68.578931
Water (ns),287,13.21,6.9,68.578931
Water (ns),186,9.07,6.9,68.582062
Water (ns),264,12.95,6.9,68.587573
Water (ns),560,8.9,6.9,68.59491667
Water (ns),1300,12.5,6.9,68.59491667
Water (ns),258,10.5,6.9,68.595875
Water (ns),2647,8.5,6.9,68.59688333
Water (ns),859,9.7,6.9,68.59688333
Water (ns),284,14.9,6.9,68.6
Water (ns),1184,10.91,6.9,68.600601
Water (ns),713,16.3,6.9,68.60895
Water (ns),133,0.75,6.9,68.609717
Water (ns),470,2.6,6.9,68.609717
Water (ns),206,6.96,6.9,68.609717
Water (ns),1545,9.8,6.9,68.61035
Water (ns),462,12.6,6.9,68.61035
Water (ns),641,10,6.9,68.610781
Water (ns),1012,7.6,6.9,68.61818333
Water (ns),611,9.4,6.9,68.61818333
Water (ns),191,11,6.9,68.61818333
Water (ns),829,13,6.9,68.61818333
Water (ns),1004,14.7,6.9,68.61818333
Water (ns),162,14.8,6.9,68.61818333
Water (ns),1737,14.8,6.9,68.61818333
Water (ns),419,14.8,6.9,68.61818333
Water (ns),283,14.8,6.9,68.61818333
Water (ns),1371,14.9,6.9,68.61818333
Water (ns),848,14.9,6.9,68.61818333
Water (ns),98,15,6.9,68.61818333
Water (ns),125,10.9,6.9,68.61838333
Water (ns),1842,12.5,6.9,68.61838333
Water (ns),128,14.8,6.9,68.61838333
Water (ns),146,14.8,6.9,68.61838333
Water (ns),486,14.8,6.9,68.61838333
Water (ns),192,1.3,6.9,68.6256
Water (ns),323,1.81,6.9,68.629961
Water (ns),330,1.9,6.9,68.629961
Water (ns),378,2.03,6.9,68.629961
Water (ns),251,2.59,6.9,68.629961
Water (ns),347,2.97,6.9,68.629961
Water (ns),335,3.01,6.9,68.629961
Water (ns),414,3.42,6.9,68.629961
Water (ns),327,4.96,6.9,68.629961
Water (ns),340,5.12,6.9,68.629961
Water (ns),68,5.19,6.9,68.629961
Water (ns),339,5.26,6.9,68.629961
Water (ns),317,5.26,6.9,68.629961
Water (ns),302,5.28,6.9,68.629961
Water (ns),284,5.28,6.9,68.629961
Water (ns),382,5.29,6.9,68.629961
Water (ns),312,5.29,6.9,68.629961
Water (ns),294,5.3,6.9,68.629961
Water (ns),301,5.3,6.9,68.629961
Water (ns),280,5.33,6.9,68.629961
Water (ns),351,5.4,6.9,68.629961
Water (ns),348,5.46,6.9,68.629961
Water (ns),330,5.46,6.9,68.629961
Water (ns),344,5.46,6.9,68.629961
Water (ns),307,5.47,6.9,68.629961
Water (ns),321,5.92,6.9,68.629961
Water (ns),310,6.13,6.9,68.629961
Water (ns),47,6.16,6.9,68.629961
Water (ns),316,6.27,6.9,68.629961
Water (ns),313,2.7,6.9,68.632586
Water (ns),184,14.1,6.9,68.79496
Water (ns),147,14.6,6.9,68.79496
Water (ns),307,14.4,6.9,68.82153
Water (ns),252,15,6.9,68.82153
Water (ns),356,15.6,6.9,68.82153
Soil (ns),409,17.42,6.92,55.873
Soil (ns),945,15,6.94,33.194
Soil (ns),1032,15,6.94,33.194
Soil (ns),1019,15,6.94,33.194
Soil (ns),851,15,6.94,33.194
Soil (ns),814,15,6.94,33.194
Soil (ns),828,15,6.94,33.194
Plant rhizosphere,208,15,6.94,33.194
Plant rhizosphere,252,15,6.94,33.194
Water (ns),1388,13.68,6.94,55.906
Water (ns),240,16.5,6.94,55.906
Water (ns),1200,14.02,6.98,55.905
