OO	Latitude	Location
90	40.015	Animal
109	40.015	Animal
60	40.015	Animal
94	40.015	Animal
99	40.015	Animal
84	40.015	Animal
92	40.015	Animal
85	40.015	Animal
89	40.015	Animal
90	40.015	Animal
83	40.015	Animal
89	40.015	Animal
103	40.015	Animal
53	40.015	Animal
101	40.015	Animal
95	40.015	Animal
86	40.015	Animal
86	40.015	Animal
87	40.015	Animal
88	40.015	Animal
80	40.015	Animal
99	40.015	Animal
88	40.015	Animal
72	40.015	Animal
59	40.015	Animal
70	40.015	Animal
74	40.015	Animal
81	40.015	Animal
78	40.015	Animal
77	40.015	Animal
85	40.015	Animal
78	40.015	Animal
87	40.015	Animal
84	40.015	Animal
110	40.015	Animal
66	40.015	Animal
100	40.015	Animal
75	40.015	Animal
108	40.015	Animal
84	40.015	Animal
94	40.015	Animal
99	40.015	Animal
88	40.015	Animal
77	40.015	Animal
86	40.015	Animal
98	40.015	Animal
63	40.015	Animal
102	40.015	Animal
87	40.015	Animal
109	40.015	Animal
85	40.015	Animal
95	40.015	Animal
87	40.015	Animal
117	40.015	Animal
91	40.015	Animal
81	40.015	Animal
127	40.015	Animal
167	40.015	Animal
303	40.015	Animal
487	40.015	Animal
483	40.015	Animal
627	40.015	Animal
63	40.015	Animal
442	40.015	Animal
278	40.015	Animal
527	40.015	Animal
562	40.015	Animal
261	40.015	Animal
129	40.015	Animal
438	40.015	Animal
463	40.015	Animal
352	40.015	Animal
364	40.015	Animal
234	40.015	Animal
528	40.015	Animal
337	40.015	Animal
374	40.015	Animal
389	40.015	Animal
311	40.015	Animal
118	40.015	Animal
321	40.015	Animal
395	40.015	Animal
440	40.015	Animal
427	40.015	Animal
478	40.015	Animal
454	40.015	Animal
373	40.015	Animal
370	40.015	Animal
338	40.015	Animal
453	40.015	Animal
133	40.015	Animal
347	40.015	Animal
330	40.015	Animal
278	40.015	Animal
280	40.015	Animal
490	40.015	Animal
417	40.015	Animal
433	40.015	Animal
503	40.015	Animal
315	40.015	Animal
451	40.015	Animal
117	40.015	Animal
464	40.015	Animal
346	40.015	Animal
385	40.015	Animal
586	40.015	Animal
396	40.015	Animal
333	40.015	Animal
413	40.015	Animal
421	40.015	Animal
332	40.015	Animal
272	40.015	Animal
127	40.015	Animal
523	40.015	Animal
443	40.015	Animal
447	40.015	Animal
473	40.015	Animal
391	40.015	Animal
316	40.015	Animal
465	40.015	Animal
540	40.015	Animal
633	40.015	Animal
326	40.015	Animal
171	40.015	Animal
279	40.015	Animal
382	40.015	Animal
362	40.015	Animal
477	40.015	Animal
386	40.015	Animal
731	40.015	Animal
494	40.015	Animal
392	40.015	Animal
620	40.015	Animal
300	40.015	Animal
166	40.015	Animal
545	40.015	Animal
517	40.015	Animal
564	40.015	Animal
492	40.015	Animal
322	40.015	Animal
283	40.015	Animal
609	40.015	Animal
445	40.015	Animal
363	40.015	Animal
118	40.015	Animal
596	40.015	Animal
325	40.015	Animal
561	40.015	Animal
420	40.015	Animal
521	40.015	Animal
564	40.015	Animal
514	40.015	Animal
496	40.015	Animal
529	40.015	Animal
551	40.015	Animal
146	40.015	Animal
475	40.015	Animal
227	40.015	Animal
429	40.015	Animal
469	40.015	Animal
504	40.015	Animal
461	40.015	Animal
549	40.015	Animal
438	40.015	Animal
479	40.015	Animal
187	40.015	Animal
154	40.015	Animal
399	40.015	Animal
549	40.015	Animal
491	40.015	Animal
435	40.015	Animal
341	40.015	Animal
388	40.015	Animal
368	40.015	Animal
776	40.015	Animal
620	40.015	Animal
710	40.015	Animal
132	40.015	Animal
638	40.015	Animal
502	40.015	Animal
454	40.015	Animal
243	40.015	Animal
553	40.015	Animal
482	40.015	Animal
716	40.015	Animal
555	40.015	Animal
352	40.015	Animal
345	40.015	Animal
103	40.015	Animal
606	40.015	Animal
393	40.015	Animal
530	40.015	Animal
450	40.015	Animal
566	40.015	Animal
536	40.015	Animal
523	40.015	Animal
579	40.015	Animal
426	40.015	Animal
535	40.015	Animal
121	40.015	Animal
531	40.015	Animal
344	40.015	Animal
453	40.015	Animal
143	40.015	Animal
249	40.015	Animal
210	40.015	Animal
270	40.015	Animal
131	40.015	Animal
144	40.015	Animal
102	40.015	Animal
114	40.015	Animal
66	40.015	Animal
140	40.015	Animal
118	40.015	Animal
167	40.015	Animal
77	40.015	Animal
131	40.015	Animal
278	40.015	Animal
190	40.015	Animal
169	40.015	Animal
234	40.015	Animal
175	40.015	Animal
191	40.015	Animal
255	40.015	Animal
261	40.015	Animal
286	40.015	Animal
473	40.015	Animal
467	40.015	Animal
222	40.015	Animal
138	40.015	Animal
96	40.015	Animal
189	40.015	Animal
139	40.015	Animal
258	40.015	Animal
406	40.015	Animal
393	40.015	Animal
240	40.015	Animal
217	40.015	Animal
258	40.015	Animal
265	40.015	Animal
477	40.015	Animal
254	40.015	Animal
345	40.015	Animal
167	40.015	Animal
294	40.015	Animal
251	40.015	Animal
240	40.015	Animal
412	40.015	Animal
146	40.015	Animal
169	40.015	Animal
278	40.015	Animal
322	40.015	Animal
168	40.015	Animal
244	40.015	Animal
171	40.015	Animal
232	40.015	Animal
241	40.015	Animal
287	40.015	Animal
238	40.015	Animal
264	40.015	Animal
206	40.015	Animal
464	40.015	Animal
146	40.015	Animal
324	40.015	Animal
344	40.015	Animal
338	40.015	Animal
288	40.015	Animal
281	40.015	Animal
295	40.015	Animal
230	40.015	Animal
197	40.015	Animal
348	40.015	Animal
323	40.015	Animal
131	40.015	Animal
121	40.015	Animal
253	40.015	Animal
91	40.015	Animal
322	40.015	Animal
118	40.015	Animal
215	40.015	Animal
198	40.015	Animal
220	40.015	Animal
230	40.015	Animal
292	40.015	Animal
266	40.015	Animal
160	40.015	Animal
137	40.015	Animal
227	40.015	Animal
371	40.015	Animal
232	40.015	Animal
274	40.015	Animal
316	40.015	Animal
257	40.015	Animal
226	40.015	Animal
313	40.015	Animal
151	40.015	Animal
127	40.015	Animal
153	40.015	Animal
364	40.015	Animal
57	40.015	Animal
159	40.015	Animal
359	40.015	Animal
86	40.015	Animal
199	40.015	Animal
292	40.015	Animal
193	40.015	Animal
273	40.015	Animal
132	40.015	Animal
346	40.015	Animal
111	40.015	Animal
67	40.015	Animal
366	40.015	Animal
394	40.015	Animal
366	40.015	Animal
323	40.015	Animal
270	40.015	Animal
280	40.015	Animal
110	40.015	Animal
140	40.015	Animal
113	40.015	Animal
421	40.015	Animal
93	40.015	Animal
35	40.015	Animal
188	40.015	Animal
404	40.015	Animal
310	40.015	Animal
369	40.015	Animal
193	40.015	Animal
184	40.015	Animal
121	40.015	Animal
306	40.015	Animal
265	40.015	Animal
251	40.015	Animal
196	40.015	Animal
190	40.015	Animal
516	40.015	Animal
38	40.015	Animal
215	40.015	Animal
400	40.015	Animal
382	40.015	Animal
132	40.015	Animal
297	40.015	Animal
533	40.015	Animal
667	40.015	Animal
108	40.015	Animal
322	40.015	Animal
528	40.015	Animal
355	40.015	Animal
244	40.015	Animal
323	40.015	Animal
306	40.015	Animal
550	40.015	Animal
286	40.015	Animal
402	40.015	Animal
354	40.015	Animal
137	40.015	Animal
114	40.015	Animal
349	40.015	Animal
372	40.015	Animal
77	40.015	Animal
140	40.015	Animal
436	40.015	Animal
354	40.015	Animal
231	40.015	Animal
215	40.015	Animal
149	40.015	Animal
126	40.015	Animal
180	40.015	Animal
146	40.015	Animal
120	40.015	Animal
150	40.015	Animal
128	40.015	Animal
127	40.015	Animal
133	40.015	Animal
137	40.015	Animal
120	40.015	Animal
128	40.015	Animal
152	40.015	Animal
118	40.015	Animal
125	40.015	Animal
130	40.015	Animal
131	40.015	Animal
128	40.015	Animal
133	40.015	Animal
125	40.015	Animal
71	40.015	Animal
123	40.015	Animal
113	40.015	Animal
150	40.015	Animal
137	40.015	Animal
124	40.015	Animal
131	40.015	Animal
131	40.015	Animal
180	40.015	Animal
148	40.015	Animal
124	40.015	Animal
101	40.015	Animal
167	40.015	Animal
125	40.015	Animal
132	40.015	Animal
146	40.015	Animal
89	40.015	Animal
113	40.015	Animal
128	40.015	Animal
117	40.015	Animal
153	40.015	Animal
145	40.015	Animal
133	40.015	Animal
125	40.015	Animal
113	40.015	Animal
134	40.015	Animal
127	40.015	Animal
121	40.015	Animal
164	40.015	Animal
126	40.015	Animal
128	40.015	Animal
107	40.015	Animal
110	40.015	Animal
143	40.015	Animal
118	40.015	Animal
100	40.015	Animal
111	40.015	Animal
95	40.015	Animal
105	40.015	Animal
141	40.015	Animal
483	40.015	Animal
562	40.015	Animal
385	40.015	Animal
173	40.015	Animal
316	40.015	Animal
82	40.015	Animal
171	40.015	Animal
167	40.015	Animal
344	40.015	Animal
237	40.015	Animal
94	40.015	Animal
95	40.015	Animal
65	40.015	Animal
399	40.015	Animal
301	40.015	Animal
526	40.015	Animal
411	40.015	Animal
289	40.015	Animal
570	40.015	Animal
234	40.015	Animal
97	40.015	Animal
346	40.015	Animal
237	40.015	Animal
166	40.015	Animal
250	40.015	Animal
279	40.015	Animal
210	40.015	Animal
678	40.015	Animal
46	40.015	Animal
334	40.015	Animal
526	40.015	Animal
332	40.015	Animal
121	40.015	Animal
689	40.015	Animal
474	40.015	Animal
153	40.015	Animal
500	40.015	Animal
111	40.015	Animal
661	40.015	Animal
522	40.015	Animal
236	40.015	Animal
299	40.015	Animal
287	40.015	Animal
663	40.015	Animal
184	40.015	Animal
253	40.015	Animal
307	40.015	Animal
106	40.015	Animal
144	40.015	Animal
243	40.015	Animal
65	40.015	Animal
410	40.015	Animal
386	40.015	Animal
168	40.015	Animal
403	40.015	Animal
259	40.015	Animal
211	40.015	Animal
181	40.015	Animal
332	40.015	Animal
248	40.015	Animal
109	40.015	Animal
196	40.015	Animal
168	40.015	Animal
505	40.015	Animal
235	40.015	Animal
179	40.015	Animal
134	40.015	Animal
552	40.015	Animal
276	40.015	Animal
139	40.015	Animal
328	40.015	Animal
598	40.015	Animal
534	40.015	Animal
523	40.015	Animal
358	40.015	Animal
206	40.015	Animal
267	40.015	Animal
227	40.015	Animal
433	40.015	Animal
298	40.015	Animal
333	40.015	Animal
346	40.015	Animal
309	40.015	Animal
600	40.015	Animal
522	40.015	Animal
324	40.015	Animal
407	40.015	Animal
186	40.015	Animal
167	40.015	Animal
255	40.015	Animal
220	40.015	Animal
199	40.015	Animal
426	40.015	Animal
191	40.015	Animal
216	40.015	Animal
188	40.015	Animal
273	40.015	Animal
207	40.015	Animal
190	40.015	Animal
226	40.015	Animal
245	40.015	Animal
203	40.015	Animal
192	40.015	Animal
201	40.015	Animal
211	40.015	Animal
212	40.015	Animal
293	40.015	Animal
213	40.015	Animal
265	40.015	Animal
296	40.015	Animal
324	40.015	Animal
469	40.015	Animal
277	40.015	Animal
227	40.015	Animal
190	40.015	Animal
176	40.015	Animal
510	40.015	Animal
297	40.015	Animal
284	40.015	Animal
553	40.015	Animal
533	40.015	Animal
357	40.015	Animal
239	40.015	Animal
272	40.015	Animal
460	40.015	Animal
466	40.015	Animal
694	40.015	Animal
517	40.015	Animal
476	40.015	Animal
168	40.015	Animal
317	40.015	Animal
367	40.015	Animal
241	40.015	Animal
389	40.015	Animal
230	40.015	Animal
335	40.015	Animal
362	40.015	Animal
385	40.015	Animal
83	40.015	Animal
405	40.015	Animal
240	40.015	Animal
250	40.015	Animal
465	40.015	Animal
186	40.015	Animal
223	40.015	Animal
441	40.015	Animal
436	40.015	Animal
219	40.015	Animal
147	40.015	Animal
432	40.015	Animal
216	40.015	Animal
527	40.015	Animal
577	40.015	Animal
145	40.015	Animal
530	40.015	Animal
201	40.015	Animal
135	40.015	Animal
240	40.015	Animal
276	40.015	Animal
226	40.015	Animal
166	40.015	Animal
286	40.015	Animal
178	40.015	Animal
145	40.015	Animal
160	40.015	Animal
183	40.015	Animal
151	40.015	Animal
173	40.015	Animal
261	40.015	Animal
492	40.015	Animal
343	40.015	Animal
209	40.015	Animal
498	40.015	Animal
197	40.015	Animal
128	40.015	Animal
174	40.015	Animal
278	40.015	Animal
142	40.015	Animal
307	40.015	Animal
268	40.015	Animal
398	40.015	Animal
409	40.015	Animal
397	40.015	Animal
154	40.015	Animal
254	40.015	Animal
317	40.015	Animal
109	40.015	Animal
269	40.015	Animal
322	40.015	Animal
280	40.015	Animal
196	40.015	Animal
350	40.015	Animal
305	40.015	Animal
463	40.015	Animal
519	40.015	Animal
480	40.015	Animal
170	40.015	Animal
242	40.015	Animal
189	40.015	Animal
471	40.015	Animal
245	40.015	Animal
200	40.015	Animal
201	40.015	Animal
227	40.015	Animal
144	40.015	Animal
175	40.015	Animal
261	40.015	Animal
188	40.015	Animal
477	40.015	Animal
203	40.015	Animal
228	40.015	Animal
409	40.015	Animal
302	40.015	Animal
283	40.015	Animal
171	40.015	Animal
229	40.015	Animal
224	40.015	Animal
347	40.015	Animal
265	40.015	Animal
244	40.015	Animal
234	40.015	Animal
196	40.015	Animal
420	40.015	Animal
282	40.015	Animal
385	40.015	Animal
168	40.015	Animal
326	40.015	Animal
372	40.015	Animal
320	40.015	Animal
388	40.015	Animal
316	40.015	Animal
226	40.015	Animal
450	40.015	Animal
445	40.015	Animal
282	40.015	Animal
143	40.015	Animal
528	40.015	Animal
238	40.015	Animal
403	40.015	Animal
323	40.015	Animal
427	40.015	Animal
225	40.015	Animal
216	40.015	Animal
354	40.015	Animal
457	40.015	Animal
102	40.015	Animal
219	40.015	Animal
361	40.015	Animal
254	40.015	Animal
322	40.015	Animal
225	40.015	Animal
251	40.015	Animal
308	40.015	Animal
306	40.015	Animal
285	40.015	Animal
197	40.015	Animal
152	40.015	Animal
483	40.015	Animal
91	40.015	Animal
199	40.015	Animal
420	40.015	Animal
65	40.015	Animal
278	40.015	Animal
334	40.015	Animal
386	40.015	Animal
210	40.015	Animal
215	40.015	Animal
390	40.015	Animal
479	40.015	Animal
109	40.015	Animal
444	40.015	Animal
376	40.015	Animal
523	40.015	Animal
429	40.015	Animal
194	40.015	Animal
178	40.015	Animal
359	40.015	Animal
132	40.015	Animal
158	40.015	Animal
588	40.015	Animal
109	40.015	Animal
56	40.015	Animal
81	40.015	Animal
51	40.015	Animal
90	40.015	Animal
68	40.015	Animal
55	40.015	Animal
70	40.015	Animal
52	40.015	Animal
51	40.015	Animal
73	40.015	Animal
54	40.015	Animal
57	40.015	Animal
59	40.015	Animal
51	40.015	Animal
84	40.015	Animal
54	40.015	Animal
45	40.015	Animal
88	40.015	Animal
54	40.015	Animal
50	40.015	Animal
62	40.015	Animal
86	40.015	Animal
54	40.015	Animal
65	40.015	Animal
57	40.015	Animal
54	40.015	Animal
61	40.015	Animal
50	40.015	Animal
48	40.015	Animal
48	40.015	Animal
48	40.015	Animal
43	40.015	Animal
38	40.015	Animal
42	40.015	Animal
52	40.015	Animal
45	40.015	Animal
40	40.015	Animal
51	40.015	Animal
41	40.015	Animal
40	40.015	Animal
48	40.015	Animal
44	40.015	Animal
57	40.015	Animal
49	40.015	Animal
55	40.015	Animal
37	40.015	Animal
50	40.015	Animal
47	40.015	Animal
49	40.015	Animal
65	40.015	Animal
55	40.015	Animal
36	40.015	Animal
52	40.015	Animal
35	40.015	Animal
41	40.015	Animal
38	40.015	Animal
49	40.015	Animal
45	40.015	Animal
45	40.015	Animal
54	40.015	Animal
42	40.015	Animal
41	40.015	Animal
50	40.015	Animal
42	40.015	Animal
