Chao1	Latitude	Location
770.7234043	55.873	Soil
1407.064516	55.873	Soil
655.75	55.873	Soil
1496.605263	55.873	Soil
1901.454976	55.873	Soil
1396.729167	55.873	Soil
1116.173469	55.873	Soil
1849.575758	55.873	Soil
1195.674419	55.873	Soil
1214.022059	55.873	Soil
544	55.873	Soil
659.8255814	55.873	Soil
1239.839416	55.873	Soil
2075.752896	55.873	Soil
1585.5	55.873	Soil
1346.875	55.873	Soil
1493.110429	55.873	Soil
1530.969697	55.873	Soil
842.8411215	55.873	Soil
1080.513158	55.873	Soil
711.5138889	55.873	Soil
522.6304348	55.873	Soil
913.6964286	55.873	Water
559.0153846	55.873	Soil
521.6666667	55.873	Soil
1707.245902	55.873	Soil
1489.87931	55.873	Soil
1094.024	55.873	Soil
1187.014925	55.873	Soil
693.1320755	55.873	Soil
743.4931507	55.873	Soil
659.045977	55.873	Soil
761.7142857	55.873	Soil
361.5277778	55.873	Soil
522.4418605	55.873	Soil
476.0909091	55.873	Soil
738.039604	55.873	Soil
832.2835821	55.873	Soil
694.2718447	55.873	Water
1305.226027	55.873	Water
533.9090909	55.873	Water
609.5	55.873	Water
728.1754386	55.873	Soil
686.6666667	55.873	Soil
316.0833333	55.873	Soil
472.4166667	55.873	Soil
483.3170732	55.873	Soil
1024.87395	55.873	Soil
529.390625	55.873	Soil
2029.674699	55.873	Soil
1135.09009	55.873	Soil
880.1428571	55.873	Soil
711.1	55.873	Soil
550.1639344	55.873	Soil
351.6363636	55.873	Soil
438.3414634	55.873	Soil
421.0967742	55.873	Soil
2415.928854	55.873	Water
2172.714286	55.873	Soil
2188.823529	55.873	Soil
1160.362205	55.873	Soil
943.4913793	55.873	Soil
1358.544776	55.873	Soil
703.2	55.873	Soil
589.6428571	55.873	Soil
595.9090909	55.873	Soil
306.65625	55.873	Soil
407.5277778	55.873	Soil
289.0909091	55.873	Soil
1602.5	55.873	Soil
2037.924779	55.873	Soil
1952.726908	55.873	Soil
1313.245902	55.873	Soil
931.7176471	55.873	Soil
849.7590361	55.873	Soil
489.2222222	55.873	Soil
523.1016949	55.873	Soil
338	55.873	Soil
317.2222222	55.873	Soil
323.2380952	55.873	Soil
1446.284884	55.873	Soil
1886.88835	55.873	Soil
2030.729592	55.873	Soil
1416.971429	55.873	Soil
1142.306931	55.873	Soil
951.1893939	55.873	Soil
824.2297297	55.873	Soil
509.2727273	55.873	Soil
324.6956522	55.873	Soil
315.0243902	55.873	Soil
369.6176471	55.873	Soil
88.4	55.873	Water
1745.732824	55.873	Soil
1478.927273	55.873	Soil
1540.444444	55.873	Soil
1405.430464	55.873	Soil
1291.70297	55.873	Soil
1443.448052	55.873	Soil
705.1617647	55.873	Soil
462.0142857	55.873	Soil
492.56	55.873	Soil
341.375	55.873	Soil
490.0588235	55.873	Soil
238.0454545	55.873	Soil
215.6190476	55.873	Soil
124.0588235	55.873	Soil
1616.91018	55.873	Soil
1764.165563	55.873	Soil
542.2419355	55.873	Soil
423.0277778	55.873	Soil
478.9230769	55.873	Soil
406	55.873	Soil
223	55.873	Soil
190.2307692	55.873	Soil
109.3333333	55.873	Soil
212.7777778	55.873	Soil
352.25	55.873	Soil
139.6666667	55.873	Soil
2491.721519	55.873	Soil
945.2142857	55.873	Soil
529.8333333	55.873	Soil
303.3333333	55.873	Soil
467.5882353	55.873	Soil
343.0769231	55.873	Soil
270.037037	55.873	Soil
224.2307692	55.873	Soil
147.3333333	55.873	Soil
287.5882353	55.873	Soil
140.3	55.873	Soil
156.6470588	55.873	Soil
1754.22335	55.873	Soil
1632.565789	55.873	Soil
518.0517241	55.873	Soil
