Latitude	Shannon	Location
40.015	5.808023183	Animal
40.015	2.941827961	Animal
40.015	4.359128974	Animal
40.015	4.307833788	Animal
40.015	4.203048833	Animal
40.015	5.716009282	Animal
40.015	5.339889615	Animal
40.015	3.998297519	Animal
40.015	4.200054533	Animal
40.015	5.585408836	Animal
40.015	4.134783109	Animal
40.015	4.31756588	Animal
40.015	3.059540672	Animal
40.015	3.756455171	Animal
40.015	5.640687025	Animal
40.015	3.870018562	Animal
40.015	3.986358215	Animal
40.015	3.637306985	Animal
40.015	5.570163564	Animal
40.015	4.59288159	Animal
40.015	4.398508711	Animal
40.015	4.01390487	Animal
40.015	5.478060395	Animal
40.015	3.166819215	Animal
40.015	4.17898169	Animal
40.015	4.204406605	Animal
40.015	4.392513547	Animal
40.015	4.281819572	Animal
40.015	3.627462433	Animal
40.015	4.322127703	Animal
40.015	4.106838068	Animal
40.015	4.255509735	Animal
40.015	4.014804118	Animal
40.015	4.51573404	Animal
40.015	3.843139937	Animal
40.015	3.889994804	Animal
40.015	3.908050394	Animal
40.015	4.399840321	Animal
40.015	4.415111799	Animal
40.015	4.332539329	Animal
40.015	4.055691378	Animal
40.015	4.169592113	Animal
40.015	5.552412412	Animal
40.015	4.420248648	Animal
40.015	4.272156314	Animal
40.015	3.984198874	Animal
40.015	4.245571881	Animal
40.015	3.849470262	Animal
40.015	3.960218516	Animal
40.015	5.040660581	Animal
40.015	3.927625058	Animal
40.015	4.239923698	Animal
40.015	4.037370158	Animal
40.015	4.016654576	Animal
40.015	4.091628562	Animal
40.015	3.357797345	Animal
40.015	3.27441605	Animal
40.015	3.453096027	Animal
40.015	3.697460033	Animal
40.015	3.96146556	Animal
40.015	4.10163009	Animal
40.015	4.155709269	Animal
40.015	5.047104256	Animal
40.015	4.493260329	Animal
40.015	4.412853687	Animal
40.015	4.504967111	Animal
40.015	5.68881136	Animal
40.015	3.885300684	Animal
40.015	4.725416038	Animal
40.015	3.604833956	Animal
40.015	4.684081847	Animal
40.015	4.185244847	Animal
40.015	4.070511228	Animal
40.015	4.528933512	Animal
40.015	5.652266282	Animal
40.015	4.30850506	Animal
40.015	3.637840313	Animal
40.015	4.183426202	Animal
40.015	3.852105919	Animal
40.015	4.05700852	Animal
40.015	4.584817024	Animal
40.015	3.316085372	Animal
40.015	3.195740238	Animal
40.015	3.697974139	Animal
40.015	3.684317421	Animal
40.015	3.782040583	Animal
40.015	3.482448285	Animal
40.015	4.334529457	Animal
40.015	4.088901181	Animal
40.015	4.289742762	Animal
40.015	3.483614367	Animal
40.015	3.629323521	Animal
40.015	3.902827043	Animal
40.015	3.354781759	Animal
40.015	3.418363805	Animal
40.015	3.825789131	Animal
40.015	3.552844391	Animal
40.015	3.163032569	Animal
40.015	3.439336389	Animal
40.015	3.677155843	Animal
40.015	2.875709547	Animal
40.015	3.863622701	Animal
40.015	3.853126616	Animal
40.015	3.790099456	Animal
40.015	3.318673254	Animal
40.015	3.97023555	Animal
40.015	4.20883817	Animal
40.015	3.508941825	Animal
40.015	3.643256917	Animal
40.015	3.320559435	Animal
40.015	3.696217875	Animal
40.015	3.221707619	Animal
40.015	3.282344612	Animal
40.015	3.580452425	Animal
40.015	3.146197827	Animal
40.015	2.920427991	Animal
40.015	2.675419238	Animal
40.015	3.282046425	Animal
40.015	3.417036835	Animal
40.015	3.098788464	Animal
40.015	3.033487858	Animal
40.015	3.667764327	Animal
40.015	3.316969606	Animal
40.015	3.018747109	Animal
40.015	3.100796767	Animal
40.015	3.870139553	Animal
40.015	2.993468702	Animal
40.015	3.479338834	Animal
40.015	3.391439862	Animal
40.015	3.892357965	Animal
40.015	3.557064948	Animal
40.015	3.65587633	Animal
40.015	3.444690599	Animal
40.015	3.079930962	Animal
40.015	3.227003006	Animal
40.015	3.144741829	Animal
40.015	3.539814766	Animal
40.015	3.0861987	Animal
40.015	4.11835532	Animal
40.015	3.295732992	Animal
40.015	3.776187909	Animal
40.015	3.403264363	Animal
40.015	3.540887419	Animal
40.015	3.294784532	Animal
40.015	3.632491596	Animal
40.015	3.546690571	Animal
40.015	3.44126967	Animal
40.015	4.184650847	Animal
40.015	5.50706656	Animal
40.015	5.106871349	Animal
40.015	7.112180303	Animal
40.015	6.115056816	Animal
40.015	7.570207243	Animal
40.015	3.638370384	Animal
40.015	5.91041891	Animal
40.015	5.384601459	Animal
40.015	6.836854205	Animal
40.015	6.846071187	Animal
40.015	5.157726098	Animal
40.015	4.206849342	Animal
40.015	6.4410507	Animal
40.015	6.237927771	Animal
40.015	5.729166014	Animal
40.015	5.198951997	Animal
40.015	4.081930968	Animal
40.015	6.851062476	Animal
40.015	5.691636477	Animal
40.015	5.062536752	Animal
40.015	5.761698653	Animal
40.015	5.133670731	Animal
40.015	4.038971709	Animal
40.015	5.156677701	Animal
40.015	6.090530129	Animal
40.015	5.807054547	Animal
40.015	5.893765357	Animal
40.015	5.253258269	Animal
40.015	6.983672028	Animal
40.015	5.750695114	Animal
40.015	5.61969835	Animal
40.015	5.743023901	Animal
40.015	6.300878282	Animal
40.015	4.424645324	Animal
40.015	5.332405082	Animal
40.015	5.75966471	Animal
40.015	4.635744821	Animal
40.015	5.560199046	Animal
40.015	6.585708993	Animal
40.015	6.358806378	Animal
40.015	5.69343412	Animal
40.015	6.7964892	Animal
40.015	5.942018127	Animal
40.015	5.658249076	Animal
40.015	4.067608694	Animal
40.015	6.450391998	Animal
40.015	5.676894785	Animal
40.015	5.756256896	Animal
40.015	7.077138731	Animal
40.015	6.181648823	Animal
40.015	5.641657412	Animal
40.015	6.025804755	Animal
40.015	6.274963762	Animal
40.015	5.278883925	Animal
40.015	5.598380572	Animal
40.015	4.179056682	Animal
40.015	6.676883466	Animal
40.015	5.958291967	Animal
40.015	6.099522108	Animal
40.015	6.566793411	Animal
40.015	5.553534599	Animal
40.015	5.372691232	Animal
40.015	6.093647599	Animal
40.015	6.445416832	Animal
40.015	7.022692848	Animal
40.015	5.573874936	Animal
40.015	5.246190865	Animal
40.015	5.550996071	Animal
40.015	5.885732834	Animal
40.015	6.08592957	Animal
40.015	6.245000353	Animal
40.015	5.828008752	Animal
40.015	7.749162319	Animal
40.015	5.952526603	Animal
40.015	5.532295344	Animal
40.015	7.092929886	Animal
40.015	5.551509326	Animal
40.015	5.752772398	Animal
40.015	7.090966973	Animal
40.015	6.802600656	Animal
40.015	7.061966042	Animal
40.015	6.69412189	Animal
40.015	5.391689471	Animal
40.015	5.127000051	Animal
40.015	6.663861998	Animal
40.015	6.43992736	Animal
40.015	5.41734434	Animal
40.015	4.265936102	Animal
40.015	7.214110236	Animal
40.015	5.702897105	Animal
40.015	7.17574313	Animal
40.015	5.952497711	Animal
40.015	7.13837585	Animal
40.015	6.884676991	Animal
40.015	7.075133273	Animal
40.015	6.728413718	Animal
40.015	6.414864791	Animal
40.015	6.753826095	Animal
40.015	4.510680592	Animal
40.015	6.39761149	Animal
40.015	5.510780221	Animal
40.015	6.421966077	Animal
40.015	5.730357352	Animal
40.015	6.26781287	Animal
40.015	6.726618632	Animal
40.015	6.944437528	Animal
40.015	5.973817865	Animal
40.015	6.958037781	Animal
40.015	5.464822312	Animal
40.015	4.440681572	Animal
40.015	5.06812235	Animal
40.015	7.048067221	Animal
40.015	6.906356617	Animal
40.015	5.41831735	Animal
40.015	4.051653587	Animal
40.015	5.488635719	Animal
40.015	5.235949509	Animal
40.015	7.691004622	Animal
40.015	7.694586056	Animal
40.015	7.323503942	Animal
40.015	3.994413394	Animal
40.015	6.954248971	Animal
40.015	6.764371648	Animal
40.015	6.074440526	Animal
40.015	4.60013899	Animal
40.015	7.061687817	Animal
40.015	7.048767937	Animal
40.015	7.487281936	Animal
40.015	7.024335736	Animal
40.015	5.477344372	Animal
40.015	5.129781849	Animal
40.015	3.556568845	Animal
40.015	7.176602435	Animal
40.015	5.451768713	Animal
40.015	7.283177159	Animal
40.015	6.904852535	Animal
40.015	6.709596722	Animal
40.015	7.051671967	Animal
40.015	6.997883889	Animal
40.015	7.067839457	Animal
40.015	6.3964528	Animal
40.015	6.903377231	Animal
40.015	3.976657614	Animal
40.015	6.810313902	Animal
40.015	5.482021004	Animal
40.015	6.441107499	Animal
40.015	4.798044239	Animal
40.015	5.150547483	Animal
40.015	4.925015145	Animal
40.015	5.211521196	Animal
40.015	3.377905388	Animal
40.015	5.119058985	Animal
40.015	2.206414354	Animal
40.015	3.971630182	Animal
40.015	3.756562984	Animal
40.015	4.486241732	Animal
40.015	4.638110496	Animal
40.015	4.534846192	Animal
40.015	2.780592217	Animal
40.015	2.528295889	Animal
