OO	Latitude	Location
1248	50.338	Sediment
1242	50.338	Sediment
1465	50.338	Sediment
1344	50.338	Sediment
1416	50.338	Sediment
1373	50.338	Sediment
944	50.338	Sediment
912	50.338	Sediment
774	50.338	Sediment
264	49.465	Sediment
223	33.607	Water
197	33.607	Water
271	33.607	Water
228	33.607	Water
195	33.607	Water
251	33.607	Water
223	33.607	Water
208	33.607	Water
266	33.607	Water
220	33.607	Water
193	33.607	Water
258	33.607	Water
231	33.607	Water
195	33.607	Water
269	33.607	Water
224	33.607	Water
227	33.607	Water
252	33.607	Water
213	33.607	Water
211	33.607	Water
263	33.607	Water
269	78.712	Water
263	78.712	Water
267	78.712	Water
297	78.712	Water
284	78.712	Water
259	78.712	Water
239	78.712	Water
270	78.712	Water
275	78.712	Water
254	78.712	Water
232	78.712	Water
291	78.712	Water
300	78.712	Water
262	78.712	Water
166	78.712	Water
305	78.712	Water
340	78.712	Water
264	78.712	Water
205	78.712	Water
297	78.712	Water
227	78.712	Water
112	78.712	Water
50	78.712	Water
244	78.712	Water
236	78.712	Water
233	78.712	Water
295	78.712	Water
283	78.712	Water
140	78.712	Water
193	78.712	Water
267	78.712	Water
246	78.712	Water
221	78.712	Water
207	78.712	Water
284	78.712	Water
178	78.712	Water
265	78.712	Water
250	78.712	Water
276	78.712	Water
271	78.712	Water
258	78.712	Water
254	78.712	Water
220	78.712	Water
274	78.712	Water
378	78.712	Water
312	78.712	Water
223	78.712	Water
354	78.712	Water
318	78.712	Water
229	78.712	Water
252	78.712	Water
274	78.712	Water
396	78.712	Water
318	78.712	Water
399	78.712	Water
318	78.712	Water
326	78.712	Water
338	78.712	Water
192	78.712	Water
282	78.712	Water
337	78.712	Water
304	78.712	Water
397	78.712	Water
340	78.712	Water
397	78.712	Water
315	78.712	Water
405	78.712	Water
266	78.712	Water
280	78.712	Water
229	78.712	Water
171	78.712	Water
239	78.712	Water
320	78.712	Water
264	78.712	Water
33	78.712	Water
280	78.712	Water
309	78.712	Water
287	78.712	Water
252	78.712	Water
275	78.712	Water
282	78.712	Water
299	78.712	Water
272	78.712	Water
305	78.712	Water
359	30.123961	Surface
252	30.123961	Surface
100	30.12397	Surface
299	30.12397	Surface
1928	30.123934	Surface
207	30.123934	Surface
425	30.123961	Surface
203	30.12406	Surface
1382	30.124259	Surface
458	30.124782	Surface
803	30.123889	Surface
1133	30.125314	Surface
1236	30.125314	Surface
1028	30.125314	Surface
989	30.123826	Surface
584	30.123826	Surface
677	30.124755	Surface
186	30.124755	Surface
876	30.124755	Surface
771	30.124755	Surface
171	30.123934	Surface
302	30.123961	Surface
254	30.124466	Surface
