Chao1	Latitude	Location
619.902439	62.232	Saline
535.3414634	62.232	Saline
400.4473684	62.232	Saline
566.8378378	62.231	Saline
462.0357143	62.231	Saline
335.12	62.05	Non-saline
765.0847458	62.05	Non-saline
769.8863636	62.05	Non-saline
357.0434783	62.05	Non-saline
496.902439	62.05	Non-saline
587.2830189	62.05	Non-saline
190.4	62.05	Non-saline
293.6666667	62.05	Non-saline
559.372093	62.05	Non-saline
169.25	62.05	Non-saline
602.2307692	62.05	Non-saline
511.75	62.05	Non-saline
427.3333333	62.05	Non-saline
454.85	62.05	Non-saline
922.2192982	62.05	Non-saline
171.6818182	62.05	Non-saline
356.1818182	62.05	Non-saline
706.1304348	62.05	Non-saline
222.7692308	62.05	Non-saline
582	62.05	Non-saline
229	62.05	Non-saline
632.8518519	62.05	Non-saline
705.0588235	62.05	Non-saline
810.0384615	62.05	Non-saline
616.606383	62.05	Non-saline
484.1666667	62.05	Non-saline
156.1578947	62.05	Non-saline
230.0526316	62.05	Non-saline
161	62.05	Non-saline
805.3913043	62.05	Non-saline
334.1212121	62.05	Non-saline
284.1875	62.05	Non-saline
481.4117647	62.05	Non-saline
74	62.05	Non-saline
1323	54.811	Saline
1647.686441	54.811	Saline
1487.757143	54.811	Saline
688.168	54.804	Saline
62.66666667	43.5297	Plant
130.2857143	43.5297	Plant
149.375	43.5297	Plant
123.2727273	43.5297	Plant
123.625	43.5297	Plant
84.42857143	43.5297	Plant
71	43.5297	Plant
163.3157895	43.5297	Plant
108	43.5297	Plant
102.8333333	43.5297	Plant
129.7692308	43.5297	Plant
168.8666667	43.5297	Plant
141	43.5297	Plant
213.75	43.5297	Plant
169.9090909	43.5297	Plant
127.4	43.5297	Plant
95.5	43.5297	Plant
153.1666667	43.5297	Plant
161.9375	43.5297	Plant
313.9411765	43.5297	Plant
293.6470588	43.5297	Plant
253	43.5297	Plant
148.5	43.5297	Plant
196.5263158	43.5297	Plant
247.7	43.5297	Plant
160.75	43.5297	Plant
40	43.5297	Plant
153	43.5297	Plant
194.1428571	43.5297	Plant
305.3703704	43.5297	Plant
82	43.5297	Plant
115.1111111	43.5297	Plant
172.5714286	43.5297	Plant
247.3333333	43.5297	Plant
276.2857143	43.5297	Plant
260.1935484	43.5297	Plant
320.3636364	43.5297	Plant
275.75	43.52965	Plant
317.0909091	43.52965	Plant
227.047619	43.52965	Plant
291.3571429	43.52965	Plant
349.7142857	43.52965	Plant
305.95	43.52965	Plant
396.2307692	43.52965	Plant
243.7142857	43.52965	Plant
180.75	43.52965	Plant
164.75	43.52965	Plant
217.4	43.52965	Plant
172	43.52965	Plant
61.75	43.4344	Plant
94.85714286	43.4344	Plant
42	43.4344	Plant
53.2	43.4344	Plant
63.66666667	43.4344	Plant
213.3529412	43.4344	Plant
201	43.4344	Plant
176.6470588	43.4344	Plant
225.0526316	43.4344	Plant
328.7575758	43.4344	Plant
168.1304348	43.4344	Plant
264.1071429	43.4344	Plant
184	43.4344	Plant
206	43.4344	Plant
42.6	43.4344	Plant
67.3	43.4344	Plant
64.66666667	43.4344	Plant
64	43.4344	Plant
221.2857143	43.4257	Plant
119.75	43.4257	Plant
144.1052632	43.4257	Plant
186.9375	43.4257	Plant
181.5555556	43.4257	Plant
86.54545455	43.4257	Plant
66.2	43.4257	Plant
133.0769231	43.4257	Plant
150.4736842	43.4257	Plant
144.2	43.4257	Plant
181	43.4257	Plant
249	43.4257	Plant
241.0384615	43.4257	Plant
153.5	43.4257	Plant
274.5	43.4257	Plant
112.4	43.4257	Plant
138.375	43.4257	Plant
158.1538462	43.4257	Plant
237.1578947	43.4257	Plant
211.2758621	43.4257	Plant
314.137931	43.4257	Plant
350.3225806	43.4257	Plant
